Refs,Value,Footprint,QTY,MFR,MPN,SPR,SPN
C9;C7;C2;C14;C16;C8;C10;C12;C1;C22;C13;C31,100nF,Capacitors_SMD:C_0603,12,,,,
C18,1nF,Capacitors_SMD:C_0603,1,,,,
C19;C20,220p,Capacitors_SMD:C_0603,2,,,,
C3;C6,47pF,Capacitors_SMD:C_0603,2,,,,
C15;C17,C,Capacitors_SMD:C_0603,2,,,,
C24;C25;C27;C28;C26;C23;C29;C30,TBD,Capacitors_SMD:C_0603,8,,,,
C4;C5;C11;C21,10uF,Capacitors_SMD:C_0805,4,,,,
U1,FT230XS,Housings_SSOP:SSOP-16_3.9x4.9mm_Pitch0.635mm,1,,,,
PCB1,PCB,KiCAD library:DP6037_PCB_Outline_NoBackHoles,1,,,,
FID1;FID2;FID3,Fiducial,KiCAD library:FIDUCIAL_1mm,3,,,,
U2,PN532,KiCAD library:HVQFN40_(SOT618-1),1,,,,
P1,USB_OTG,KiCAD library:Micro_USB_-_10103594-0001LF,1,,,,
ANT1,NFC_Antenna,KiCAD library:NFC_Antenna_Symmetric,1,,,,
Y1,Crystal_GND2,KiCAD library:TSX-3225,1,,,,
P5,CONN_01X01,KiCAD library:VIA_STITCH_TENTED_0.3mm,1,,,,
D1;D2;D3;D4,LED,LEDs:LED_0603,4,,,,
P3;P4,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,2,,,,
P2,CONN_01X09,Pin_Headers:Pin_Header_Straight_1x09,1,,,,
R5;R1;R2,10k,Resistors_SMD:R_0603,3,,,,
R8;R6;R14,1k,Resistors_SMD:R_0603,3,,,,
R9,2.7k,Resistors_SMD:R_0603,1,,,,
R4;R3,27R,Resistors_SMD:R_0603,2,,,,
R11;R10;R12;R13,TBD,Resistors_SMD:R_0603,4,,,,
L2;L3,560nH,Resistors_SMD:R_0805,2,,,,
L1,Ferrite_Bead,Resistors_SMD:R_0805,1,,,,
U3,MIC5317-3.3YM5/D5,TO_SOT_Packages_SMD:SOT-23-5,1,,,,
